,order,captiontime,caption,command,speed,item,m1,lorr,boxnum,emojistella,emojiben,who,talk,fadebefore,fadewho,fadeframe,fadetime,xstella,ystella,xstellasay,ystellasay,xben,yben,xbensay,ybensay,xm1,ym1,xitem,yitem,xleft,yleft,xright,yright,time,autotime,musictip,music,musictime,musicwait
e8360,1322,400,*手机提示音响,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e8359,1323,,,,,,,special,,,55,,gradual,,ben,,80,,,,,,,,,,,,,,,,,,,,,,
e8361,1324,,,cleanolall,6,,,l,1,,55,stella,Ben,,,,,,,,,,,,landr,,,,,,,,,,3,,,,
e8362,1325,,,,6,,,l,2,,55,stella,今天好累哦,,,,,,,,,,,,landr,,,,,,,,,,5,,,,
e8363,1326,,,,6,,,r,3,,55,ben,怎么了,,,,,,,,,,,,landr,,,,,,,,,,3,,,,
e8364,1327,,,,6,,,l,4,,55,stella,加班,,,,,,,,,,,,landr,,,,,,,,,,2,,,,
e8365,1328,,,cleanolall,6,,,r,1,,55,ben,懂了,,,,,,,,,,,,landr,,,,,,,,,,2,,,,
e8366,1329,,,,6,,,r,2,,55,ben,两个字就够了,,,,,,,,,,,,landr,,,,,,,,,,6,,,,
e8367,1330,,,,6,,,lemoji,3,,55,stella,4趴开心,,,,,,,,,,,olemoji,landr,,,,,,,,,,12,,,,
e8368,1331,,,cleanolall,6,,,r,1,,55,ben,你工作了啊，我以为你还上学呢,,,,,,,,,,,,landr,,,,,,,,,,14,,,,
e8369,1332,,,,6,,,l,2,,55,stella,是上学，兼职,,,,,,,,,,,,landr,,,,,,,,,,6,,,,
e8370,1333,,,,6,,,r,3,,55,ben,生活费不够吗,,,,,,,,,,,,landr,,,,,,,,,,6,,,,
e8371,1334,,,,6,,,l,4,,55,stella,不是,,,,,,,,,,,,landr,,,,,,,,,,2,,,,
e8372,1335,,,cleanolall,6,,,l,1,,55,stella,要付房租,,,,,,,,,,,,landr,,,,,,,,,,4,,,,
e8373,1336,,,,6,,,r,2,,55,ben,这样,,,,,,,,,,,,landr,,,,,,,,,,2,,,,
e8374,1337,,,,6,,,r,3,,55,ben,辛苦了,,,,,,,,,,,,landr,,,,,,,,,,3,,,,
e8375,1338,,,,6,,,lemoji,4,,55,stella,4趴开心,,,,,,,,,,,olemoji,landr,,,,,,,,,,4,,,,
e8376,1339,800,ben继续工作，表现他此时对聊天并不太重视,cleanolall,6,,,special,,,56,,gradual,,ben,,70,,,,,,,,,,,,,,,,,,7,,,,
e8377,1340,700,叮提示音，拿起手机看消息,,6,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
e8378,1341,,,,6,,,l,1,,55,stella,Ben要付房租吗？,,ben,,70,,,,,,,,landr,,,,,,,,,,9,,,,
e8379,1342,,,,6,,,r,2,,55,ben,要,,,,,,,,,,,,landr,,,,,,,,,,1,,,,
e8380,1343,,,,6,,,r,3,,55,ben,不过不算负担,,,,,,,,,,,,landr,,,,,,,,,,6,,,,
e8381,1344,,,,6,,,l,4,,55,stella,嗯？,,,,,,,,,,,,landr,,,,,,,,,,2,,,,
e8382,1345,,,cleanolall,6,,,r,1,,55,ben,一个月四百,,,,,,,,,,,,landr,,,,,,,,,,5,,,,
e8383,1346,,,,6,,,l,2,,55,stella,这么便宜呀,,,,,,,,,,,,landr,,,,,,,,,,5,,,,
e8384,1347,,,,6,,,r,3,,55,ben,因为很偏很老，我这连外卖都送不到,,,,,,,,,,,,landr,,,,,,,,,,16,,,,
e8385,1348,,,cleanolall,6,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
e8386,1349,,,,6,,,special,,47,,,,,fadeoutandin,,120,,,,,,,,,,,,,,,,,,0,,,,
e8387,1350,,,,6,,,lemoji,1,47,,stella,5趴难过,,,,,,,,,,,olemoji,landr,,,,,,,,,,4,,,,
e8388,1351,,,,6,,,l,2,47,,stella,你也辛苦了,,,,,,,,,,,,landr,,,,,,,,,,5,,,,
e8389,1352,,,,6,,,r,3,47,,ben,不辛苦,,,,,,,,,,,,landr,,,,,,,,,,3,,,,
e8390,1353,,,,6,,,special,,48,,,gradual,,stella,,80,,,,,,,,,,,,,,,,,,7,,,,
e8391,1354,,,,6,,,r,4,48,,ben,穷确实穷，但不苦,,,,,,,,,,,,landr,,,,,,,,,,8,,,,
e8392,1355,,,cleanolall,6,,,r,1,48,,ben,不用打工,,,,,,,,,,,,landr,,,,,,,,,,4,,,,
e8393,1356,,,,6,,,r,2,48,,ben,不用受委屈,,,,,,,,,,,,landr,,,,,,,,,,5,,,,
e8394,1357,,,,6,,,r,3,48,,ben,不用被蠢货指手画脚,,,,,,,,,,,,landr,,,,,,,,,,9,,,,
e8395,1358,,,,6,,,r,4,48,,ben,一年365天都是自己的，一分钟都不用卖给别人,,,,,,,,,,,,landr,,,,,,,,,,22,,,,
e8396,1359,,,,6,,,special,,6,,,gradual,,stella,,80,,,,,,,,,,,,,,,,,,7,,,,
e8397,1360,,,cleanolall,6,,,l,1,6,,stella,好棒呀！,,,,,,,,,,,,landr,,,,,,,,,,4,,,,
e8398,1361,,,,6,,,r,2,6,,ben,还有一个最好的,,,,,,,,,,,,landr,,,,,,,,,,7,,,,
e8399,1362,,,,6,,,l,3,6,,stella,什么呀,,,,,,,,,,,,landr,,,,,,,,,,3,,,,
e8400,1363,,,cleanolall,6,,,r,1,6,,ben,我不上班三四年了,,,,,,,,,,,,landr,,,,,,,,,,8,,,,
e8401,1364,,,,6,,,r,2,6,,ben,按理说什么好东西也腻了,,,,,,,,,,,,landr,,,,,,,,,,11,,,,
e8402,1365,,,,6,,,r,3,6,,ben,但这个我到现在还是喜欢,,,,,,,,,,,,landr,,,,,,,,,,11,,,,
e8403,1366,,,,6,,,r,4,6,,ben,想到就高兴,,,,,,,,,,,,landr,,,,,,,,,,5,,,,
e8404,1367,,,cleanolall,6,,,l,1,6,,stella,什么呀什么呀,,,,,,,,,,,,landr,,,,,,,,,,6,,,,
e8405,1368,,,,6,,,r,2,6,,ben,我每一天,,,,,,,,,,,,landr,,,,,,,,,,4,,,,
e8406,1369,,,,6,,,r,3,6,,ben,不，是每一觉都能睡到自然醒,,,,,,,,,,,,landr,,,,,,,,,,13,,,,
e8407,1370,,,cleanolall,6,,,l,1,6,,stella,啊,,,,,,,,,,,,landr,,,,,,,,,,1,,,,
e8408,1371,,,,6,,,l,2,6,,stella,这个真的是,,,,,,,,,,,,landr,,,,,,,,,,5,,,,
e8409,1372,,,,6,,,l,3,6,,stella,太幸福了吧！,,,,,,,,,,,,landr,,,,,,,,,,6,,,,
e8410,1373,,,,6,,,l,4,6,,stella,好羡慕啊,,,,,,,,,,,,landr,,,,,,,,,,4,,,,
e8411,1374,,,cleanolall,6,,,r,1,6,,ben,是吧,,,,,,,,,,,,landr,,,,,,,,,,2,,,,
e8412,1375,,,,6,,,l,2,6,,stella,嗯！,,,,,,,,,,,,landr,,,,,,,,,,2,,,,
e8413,1376,,,cleanolall,6,,,r,1,6,,ben,可以的话肯定想又有钱又有时间嘛，但我这辈子是没这机会了,,,,,,,,,,,,landr,,,,,,,,,,27,,,,
e8414,1377,,,,6,,,r,2,6,,ben,只能二选一的话我选没钱,,,,,,,,,,,,landr,,,,,,,,,,11,,,,
e8415,1378,,,,6,,,l,3,6,,stella,我也是！,,,,,,,,,,,,landr,,,,,,,,,,4,,,,
e8416,1379,,,,6,,,special,,,54,,,,fadeoutandin,,120,,,,,,,,,,,,,,,,,,0,,,,
e8417,1380,,,,6,,,remoji,4,,54,ben,6微笑点赞,,,,,,,,,,,olemoji,landr,,,,,,,,,,5,,,,
e8418,1381,800,ben继续工作，表现他此时对聊天并不太重视,cleanolall,6,,,special,,,56,,gradual,,ben,,50,,,,,,,,,,,,,,,,,,7,,,,
e8419,1382,700,叮提示音，拿起手机看消息,,6,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
e8420,1383,,,,6,,,l,1,,53,stella,我想到了以前看的故事,,ben,,70,,,,,,,,landr,,,,,,,,,,10,,,,
e8421,1384,,,,6,,,l,2,,53,stella,你愿意花多少钱卖掉你的时间,,,,,,,,,,,,landr,,,,,,,,,,13,,,,
e8422,1385,,,,6,,,r,3,,54,ben,一小时20块,,ben,,40,,,,,,,,landr,,,,,,,,,,6,,,,
e8423,1386,,,,6,,,lemoji,4,,54,stella,1开心,,,,,,,,,,,olemoji,landr,,,,,,,,,,3,,,,
e8424,1387,,,cleanolall,6,,,l,1,,54,stella,是呀,,,,,,,,,,,,landr,,,,,,,,,,2,,,,
e8425,1388,,,,6,,,l,2,,54,stella,本来我们每天也得卖掉自己的八个小时呀,,,,,,,,,,,,landr,,,,,,,,,,18,,,,
e8426,1389,,,,6,,,l,3,,54,stella,还要受8个小时的苦,,,,,,,,,,,,landr,,,,,,,,,,9,,,,
e8427,1390,,,,6,,,l,4,,54,stella,如果可以不受苦的卖掉,,,,,,,,,,,,landr,,,,,,,,,,10,,,,
e8428,1391,,,cleanolall,6,,,r,1,,54,ben,那我觉得价格估计得卷到三毛五一小时,,,,,,,,,,,,landr,,,,,,,,,,17,,,,
e8429,1392,,,,6,,,lemoji,2,,54,stella,1开心,,,,,,,,,,,olemoji,landr,,,,,,,,,,3,,,,
e8430,1393,,,,6,,,l,3,,54,stella,好精确的数据呀,,,,,,,,,,,,landr,,,,,,,,,,7,,,,
e8431,1394,,,cleanolall,6,,,r,1,,53,ben,说真的，还用什么科技进步，我们人类早就掌握卖时间的技术了,,ben,,40,,,,,,,,landr,,,,,,,,,,28,,,,
e8432,1395,,,,6,,,r,2,,53,ben,具体操作是我们每天卖8小时给人家打工,,,,,,,,,,,,landr,,,,,,,,,,18,,,,
e8433,1396,,,,6,,,r,3,,53,ben,人家买下来，不工作，24小时都是人家自己的,,,,,,,,,,,,landr,,,,,,,,,,21,,,,
e8434,1397,,,cleanolall,6,,,l,1,,53,stella,啊,,,,,,,,,,,,landr,,,,,,,,,,1,,,,
e8435,1398,,,,6,,,l,2,,53,stella,我也正想说这个！,,,,,,,,,,,,landr,,,,,,,,,,8,,,,
e8436,1399,,,,6,,,l,3,,53,stella,我觉得这是最最本质的不公平,,,,,,,,,,,,landr,,,,,,,,,,13,,,,
e8437,1400,,,,6,,,l,4,,53,stella,我们都只活一次，可是真正在体验人生的时间是天差地别的,,,,,,,,,,,,landr,,,,,,,,,,26,,,,
e8438,1401,,,cleanolall,6,,,remoji,1,,54,ben,7严肃点赞,,ben,,40,,,,,,,olemoji,landr,,,,,,,,,,5,,,,
e8439,1402,,,,6,,,r,2,,54,ben,体验好,,,,,,,,,,,,landr,,,,,,,,,,3,,,,
e8440,1403,,,,6,,,r,3,,54,ben,体验这个词用得真好,,,,,,,,,,,,landr,,,,,,,,,,9,,,,
e8441,1404,,,cleanolall,6,,,r,1,,54,ben,不是说我们就是工作，人家就是享受,,,,,,,,,,,,landr,,,,,,,,,,16,,,,
e8442,1405,,,,6,,,r,2,,54,ben,人家也工作，但是人家可以做想做的事，可以做有成就感的部分,,,,,,,,,,,,landr,,,,,,,,,,28,,,,
e8443,1406,,,,6,,,r,3,,54,ben,人家工作不是在煎熬，而是在,,,,,,,,,,,,landr,,,,,,,,,,13,,,,
e8444,1407,,,,6,,,r,4,,54,ben,体验,,,,,,,,,,,,landr,,,,,,,,,,2,,,,
e8445,1408,,,cleanolall,6,,,r,1,,54,ben,体验人生,,,,,,,,,,,,landr,,,,,,,,,,4,,,,
e8446,1409,,,,6,,,r,2,,54,ben,体验活一次,,,,,,,,,,,,landr,,,,,,,,,,5,,,,
e8447,1410,,,cleanolall,6,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
e8448,1411,,,,6,,,special,,6,,,,,fadeoutandin,,120,,,,,,,,,,,,,,,,,,0,,,,
e8449,1412,,,,6,,,r,1,6,,ben,好呀,,,,,,,,,,,,landr,,,,,,,,,,2,,,,
e8450,1413,,,,6,,,r,2,6,,ben,我一直想不到一个合适的词，体验真的好,,,,,,,,,,,,landr,,,,,,,,,,18,,,,
e8451,1414,,,cleanolall,6,,,special,,50,,,gradual,,stella,,90,,,,,,,,,,,,,,,,,,7,,,,
e8452,1415,,,,6,,,r,1,50,,ben,<class='bandi'>时间对所有人都是公平的，每个人每天都只有24小时</class>,,,,,,,,,,,,landr,,,,,,,,,,23,,,,
e8453,1416,,,,6,,,l,2,50,,stella,<class='bandi'>时间对每个人都是公平的，但对一些人比对另一些人更公平</class>,,,,,,,,,,,,landr,,,,,,,,,,25,,,,
e8454,1417,,,,6,,,r,3,50,,ben,哈哈哈哈哈哈哈,,,,,,,,,,,,landr,,,,,,,,,,7,,,,
e8455,1418,,,,6,,,remoji,4,50,,ben,6微笑点赞,,,,,,,,,,,olemoji,landr,,,,,,,,,,5,,,,
e8456,1419,,,cleanolall,6,,,lemoji,1,50,,stella,1开心,,,,,,,,,,,olemoji,landr,,,,,,,,,,3,,,,
e8457,1420,,,cleanolall,6,,,r,1,50,,ben,八小时，呵,,,,,,,,,,,,landr,,,,,,,,,,5,,,,
e8458,1421,,,,6,,,r,2,50,,ben,我打工的时候一天要在公司呆12个小时，一周六天,,,,,,,,,,,,landr,,,,,,,,,,23,,,,
e8459,1422,,,,6,,,r,3,50,,ben,下了班还要通勤、还要做家务,,,,,,,,,,,,landr,,,,,,,,,,13,,,,
e8460,1423,,,,6,,,r,4,50,,ben,还有应酬和杂事，做完累得什么都不想干了,,,,,,,,,,,,landr,,,,,,,,,,19,,,,
e8461,1424,,,cleanolall,6,,,r,1,50,,ben,再刨去睡觉时间，一天剩不了几个小时给自己,,,,,,,,,,,,landr,,,,,,,,,,20,,,,
e8462,1425,,,,6,,,r,2,50,,ben,我在给谁活呢？,,,,,,,,,,,,landr,,,,,,,,,,7,,,,
e8463,1426,,,cleanolall,6,,,special,,51,,,gradual,,stella,,80,,,,,,,,,,,,,,,,,,7,,,,
e8464,1427,,,,6,,,r,1,51,,ben,所以我辞职了，只做我想做的事,,,,,,,,,,,,landr,,,,,,,,,,14,,,,
e8465,1428,,,,6,,,r,2,51,,ben,那即使我只活50岁，干不动了死路边上，我也比活90岁活了更长的时间,,,,,,,,,,,,landr,,,,,,,,,,33,,,,
e8466,1429,,,,6,,,l,3,51,,stella,为自己活了更长的时间,,,,,,,,,,,,landr,,,,,,,,,,10,,,,
e8467,1430,,,,6,,,remoji,4,51,,ben,7严肃点赞,,,,,,,,,,,olemoji,landr,,,,,,,,,,5,,,,
e8468,1431,,,cleanolall,6,,,special,,48,,,gradual,,stella,,90,,,,,,,,,,,,,,,,,,7,,,,
e8469,1432,,,,6,,,l,1,48,,stella,你也想过这些呀,,,,,,,,,,,,landr,,,,,,,,,,7,,,,
e8470,1433,,,,6,,,r,2,48,,ben,嗯,,,,,,,,,,,,landr,,,,,,,,,,1,,,,
e8471,1434,,,,6,,,l,3,48,,stella,我也是,,,,,,,,,,,,landr,,,,,,,,,,3,,,,
e8472,1435,,,cleanolall,6,,,special,,47,,,gradual,,stella,,80,,,,,,,,,,,,,,,,,,7,,,,
e8473,1436,,,,6,,,l,1,47,,stella,我也想像你那样活,,,,,,,,,,,,landr,,,,,,,,,,8,,,,
e8474,1437,,,,6,,,l,2,47,,stella,但应该不行的，我没有你那么优秀,,,,,,,,,,,,landr,,,,,,,,,,15,,,,
e8475,1438,,,cleanolall,6,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
e8476,1439,,,,6,,,special,,,8,,,,fadeoutandinxy,,120,124,107,,,1429,107,,,,,,,520,150,1400,150,,0,,,,
e8477,1440,900,这一段情感上是Stella喜欢上Ben的关键,olposition,6,,,r,1,,8,ben,像我这么活确实不容易,,,,120,124,107,,,1429,107,,landr,,,,,520,150,1400,150,,10,,,,
e8478,1441,,,,6,,,r,2,,8,ben,但不是优秀不优秀，是我没负担,,,,,,,,,,,,landr,,,,,,,,,,14,,,,
e8479,1442,,,,6,,,r,3,,8,ben,我没有孩子，没有生病，父母有退休金,,,,,,,,,,,,landr,,,,,,,,,,17,,,,
e8480,1443,,,,6,,,r,4,,8,ben,我能坐在家里工作是因为我有条件,,,,,,,,,,,,landr,,,,,,,,,,15,,,,
e8481,1444,,,cleanolall,6,,,r,1,,8,ben,我之前被父母供着上了20多年学，我掌握了坐在家里赚钱的知识,,,,,,,,,,,,landr,,,,,,,,,,29,,,,
e8482,1445,,,,6,,,r,2,,8,ben,听起来很平常，但这已经是许多人没有的条件了,,,,,,,,,,,,landr,,,,,,,,,,21,,,,
e8483,1446,,,,6,,,special,,55,8,,gradual,,stella,,130,,,,,,,,,,,,,,,,,,7,,,,
e8484,1447,,,cleanolall,6,,,r,1,55,8,ben,假如我生在穷人家，山沟里,,,,,,,,,,,,landr,,,,,,,,,,12,,,,
e8485,1448,,,,6,,,r,2,55,8,ben,念完初中就得去打工，我怎么坐在家里赚钱呢？,,,,,,,,,,,,landr,,,,,,,,,,21,,,,
e8486,1449,,,cleanolall,6,,,r,1,55,8,ben,我现在知道有很多没上过学也可以坐在家里的工作,,,,,,,,,,,,landr,,,,,,,,,,22,,,,
e8487,1450,,,,6,,,r,2,55,8,ben,比如剪辑视频赚流量钱,,,,,,,,,,,,landr,,,,,,,,,,10,,,,
e8488,1451,,,,6,,,r,3,55,8,ben,听起来很简单，但这其实需求不少基础知识的,,,,,,,,,,,,landr,,,,,,,,,,20,,,,
e8489,1452,,,cleanolall,6,,,r,1,55,8,ben,你得会操作电脑，得找得到视频源,,,,,,,,,,,,landr,,,,,,,,,,15,,,,
e8490,1453,,,,6,,,r,2,55,8,ben,会洗稿,,,,,,,,,,,,landr,,,,,,,,,,3,,,,
e8491,1454,,,,6,,,r,3,55,8,ben,会剪辑,,,,,,,,,,,,landr,,,,,,,,,,3,,,,
e8492,1455,,,,6,,,r,4,55,8,ben,最好还能了解一些推荐算法的知识,,,,,,,,,,,,landr,,,,,,,,,,15,,,,
e8493,1456,,,cleanolall,6,,,r,1,55,8,ben,我们觉得简单是因为我们已经在日常的使用里掌握这些技能了,,,,,,,,,,,,landr,,,,,,,,,,27,,,,
e8494,1457,,,,6,,,r,2,55,8,ben,用着用着就会了，对吧,,,,,,,,,,,,landr,,,,,,,,,,10,,,,
e8495,1458,,,,6,,,r,3,55,8,ben,但很多人是没有用着用着的，他什么都得从头学,,,,,,,,,,,,landr,,,,,,,,,,21,,,,
e8496,1459,,,cleanolall,6,,,r,1,55,8,ben,不只是操作电脑,,,,,,,,,,,,landr,,,,,,,,,,7,,,,
e8497,1460,,,,6,,,r,2,55,8,ben,他得从怎么用手机，怎么买东西，怎么在城市生活的方方面面开始学,,,,,,,,,,,,landr,,,,,,,,,,30,,,,
e8498,1461,,,,6,,,r,3,55,8,ben,这就是我拥有的<class='bold'>条件</class>,,,,,,,,,,,,landr,,,,,,,,,,8,,,,
e8499,1462,,,,6,,,special,,54,8,,gradual,,stella,,140,,,,,,,,,,,,,,,,,,7,,,,
e8500,1463,,,cleanolall,6,,,r,1,54,8,ben,所以你说他被很笨的骗术骗了,,,,,,,,,,,,landr,,,,,,,,,,13,,,,
e8501,1464,,,,6,,,r,2,54,8,ben,比如被黑中介骗了面试费服装费住宿费,,,,,,,,,,,,landr,,,,,,,,,,17,,,,
e8502,1465,,,,6,,,r,3,54,8,ben,比如为了学<class='bold'>在家剪视频赚钱</class>又拜师又交学费，给师傅打白工,,,,,,,,,,,,landr,,,,,,,,,,24,,,,
e8503,1466,,,,6,,,r,4,54,8,ben,为了我们觉得遍地都是免费教程的知识付出巨大的代价,,,,,,,,,,,,landr,,,,,,,,,,24,,,,
e8504,1467,,,cleanolall,6,,,r,1,54,8,ben,我实在说不出来：你活的苦是因为你不努力,,,,,,,,,,,,landr,,,,,,,,,,19,,,,
e8505,1468,,,,6,,,r,2,54,8,ben,你被骗了是因为你笨,,,,,,,,,,,,landr,,,,,,,,,,9,,,,
e8506,1469,,,,6,,,special,,53,8,,gradual,,stella,,150,,,,,,,,,,,,,,,,,,7,,,,
e8507,1470,,,cleanolall,6,,,l,1,53,8,stella,真好呢,,,,,,,,,,,,landr,,,,,,,,,,3,,,,
e8508,1471,,,,6,,,r,2,53,8,ben,嗯？,,,,,,,,,,,,landr,,,,,,,,,,2,,,,
e8509,1472,,,,6,,,l,3,53,8,stella,你总是会理解别人,,,,,,,,,,,,landr,,,,,,,,,,8,,,,
e8510,1473,,,cleanolall,6,,,special,,,52,,,,fadeoutandinxy,,80,603,91,,,603,91,,,,,,,1333,160,588,160,,0,,,,
e8511,1474,,,olposition,6,,,r,1,,52,ben,啊,,,,,603,91,,,603,91,,landr,,,,,1333,160,588,160,,1,,,,
e8512,1475,,,,6,,,r,2,,52,ben,也没有,,,,,,,,,,,,landr,,,,,,,,,,3,,,,
e8513,1476,,,,6,,,r,3,,52,ben,想到自己了嘛,,,,,,,,,,,,landr,,,,,,,,,,6,,,,
e8514,1477,,,,6,,,r,4,,52,ben,想到人家上面的，人上人，人家也是这么想我们的,,,,,,,,,,,,landr,,,,,,,,,,22,,,,
e8515,1478,,,cleanolall,6,,,r,1,,52,ben,<class='bandi'>啊，不会吧，赚一百万不是有手就行吗？</class>,,,,,,,,,,,,landr,,,,,,,,,,18,,,,
e8516,1479,,,,6,,,r,2,,52,ben,<class='bandi'>我上小学的时候就赚几千万了</class>,,,,,,,,,,,,landr,,,,,,,,,,13,,,,
e8517,1480,,,,6,,,r,3,,52,ben,<class='bandi'>不靠别人，只靠我自己的眼光，把攒的压岁钱投资我叔叔开的煤矿赚的</class>,,,,,,,,,,,,landr,,,,,,,,,,33,,,,
e8518,1481,,,,6,,,r,4,,52,ben,<class='bandi'>明明遍地都是机会，你们赚不到钱还不是怪你们不努力？</class>,,,,,,,,,,,,landr,,,,,,,,,,25,,,,
e8519,1482,,,cleanolall,6,,,special,,50,,,,,fadeoutandin,,70,,,,,,,,,,,,,,,,,,0,,,,
e8520,1483,,,,6,,,r,1,50,,ben,没有没有，我编的，我真不知道人家人上人怎么赚钱的,,,,,,,,,,,,landr,,,,,,,,,,24,,,,
e8521,1484,,,,6,,,r,2,50,,ben,咱们低等文明想象不了人家高等文明啥样，没见过世面,,,,,,,,,,,,landr,,,,,,,,,,24,,,,
e8522,1485,,,,6,,,r,3,50,,ben,咱只能想到人家人上人打代码用的是金键盘,,,,,,,,,,,,landr,,,,,,,,,,19,,,,
e8523,1486,,,cleanolall,6,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
e8524,1487,,,,6,,,special,,53,8,,,,fadeoutandinxy,,90,124,107,,,1429,107,,,,,,,520,150,1400,150,,0,,,,
e8525,1488,,,olposition,6,,,r,1,53,8,ben,我家就是普通市民家庭,,,,,124,107,,,1429,107,,landr,,,,,520,150,1400,150,,10,,,,
e8526,1489,,,,6,,,r,2,53,8,ben,可能还穷一点，很多事因为穷我都没有体验过,,,,,,,,,,,,landr,,,,,,,,,,20,,,,
e8527,1490,,,,6,,,r,3,53,8,ben,但即使是这样我也已经有这个世界上很多很多人没有的条件了,,,,,,,,,,,,landr,,,,,,,,,,27,,,,
e8528,1491,,,cleanolall,6,,,r,1,53,8,ben,我可以二选一，穷但轻松，赚钱但累,,,,,,,,,,,,landr,,,,,,,,,,16,,,,
e8529,1492,,,,6,,,r,2,53,8,ben,但无数人没得选的，只有穷且累,,,,,,,,,,,,landr,,,,,,,,,,14,,,,
e8530,1493,,,cleanolall,6,,,r,1,53,8,ben,不能我在跟出身好的人比就说是人家投了个好胎,,,,,,,,,,,,landr,,,,,,,,,,21,,,,
e8531,1494,,,,6,,,r,2,53,8,ben,跟出身不如我的人比就说是我自己优秀,,,,,,,,,,,,landr,,,,,,,,,,17,,,,
e8532,1495,,,,6,,,r,3,53,8,ben,这不对,,,,,,,,,,,,landr,,,,,,,,,,3,,,,
e8533,1496,,,,6,,,special,,54,8,,gradual,,stella,,70,,,,,,,,,,,,,,,,,,7,,,,
e8534,1497,,,cleanolall,6,,,l,1,54,8,stella,<class='bandi'>每当你想要批评别人的时候</class>,,,,,,,,,,,,landr,,,,,,,,,,12,,,,
e8535,1498,,,,6,,,special,,54,7,,gradual,,ben,,80,,,,,,,,,,,,,,,,,,7,,,,
e8536,1499,,,,6,,,r,2,54,6,ben,<class='bandi'>你要记得，不是每个人都有你这样的条件的</class>,,ben,,40,,,,,,,,landr,,,,,,,,,,19,,,,
e8537,1500,,,,6,,,special,,52,6,,gradual,,stella,,140,,,,,,,,,,,,,,,,,,7,,,,
e8538,1501,,,,6,,,special,,52,7,,gradual,,ben,,120,,,,,,,,,,,,,,,,,,7,,,,
e8539,1502,,220,cleanolall,6,,,special,,52,7,,,,fadeout,save,310,,,,,,,,,,,,,,,,,,0,,,,
donkey,1503,,,olposition,,,,special,,60,,,,,fadein,,200,421,444,,,189,102,,,,,,,421,50,1498,50,,0,,,,
f5180,1504,,,,6,,,remoji,1,60,,stella,5,,,,,,,,,,,olemoji,landr,,,,,,,,,,1,,,,
f5181,1505,,,,6,,,r,2,60,,stella,Ben,,,,,,,,,,,,landr,,,,,,,,,,3,,,,
f5182,1506,,,cleanolall,6,,,l,1,60,,ben,怎么啦,,,,,,,,,,,,landr,,,,,,,,,,3,,,,
f5183,1507,,,,6,,,r,2,60,,stella,玩游戏没有忍住买了好贵的皮肤,,,,,,,,,,,,landr,,,,,,,,,,14,,,,
f5184,1508,,,cleanolall,6,,,l,1,60,,ben,哈哈哈哈,,,,,,,,,,,,landr,,,,,,,,,,4,,,,
f5185,1509,,,,6,,,l,2,60,,ben,免不了的,,,,,,,,,,,,landr,,,,,,,,,,4,,,,
f5186,1510,,,cleanolall,6,,,l,1,60,,ben,还是玩我的游戏好吧,,,,,,,,,,,,landr,,,,,,,,,,9,,,,
f5187,1511,,,,7,,,l,2,60,,ben,便宜，有趣，无内购,,,,,,,,,,,,landr,,,,,,,,,,9,,,,
f5188,1512,,,cleanolall,6,,,remoji,1,61,,stella,1,,stella,,110,,,,,,,,landr,,,,,,,,,,1,,,,
f5189,1513,,,,6,,,r,2,61,,stella,是呢,,,,,,,,,,,,landr,,,,,,,,,,2,,,,
f5190,1514,,,cleanolall,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
f5191,1515,,,,6,,,r,1,61,,stella,冷静下来想真的好亏哦,,,,,,,,,,,,landr,,,,,,,,,,10,,,,
f5192,1516,,,,6,,,r,2,61,,stella,花的钱要打工很久才能赚回来,,,,,,,,,,,,landr,,,,,,,,,,13,,,,
f5193,1517,,,,6,,,r,1,61,,stella,好辛苦的,,,,,cleanol1,,,,,,,landr,,,,,,,,,,4,,,,
f5194,1518,,,,6,,,r,2,61,,stella,还是和你一样省钱不打工更好,,,,,,,,,,,,landr,,,,,,,,,,13,,,,
f5195,1519,,,,6,,,l,1,61,,ben,对吧,,,,,cleanol1,,,,,,,landr,,,,,,,,,,2,,,,
f5196,1520,,,,6,,,r,2,61,,stella,嗯!,,,,,,,,,,,,landr,,,,,,,,,,2,,,,
f5197,1521,,,,6,,,l,1,61,,ben,不过这不怪你,,,,,cleanol1,,,,,,,landr,,,,,,,,,,6,,,,
f5198,1522,,,cleanolall,6,,,l,1,61,,ben,游戏的内购点是研究最能让你痒的那个地方设计的,,,,,,,,,,,,landr,,,,,,,,,,22,,,,
f5199,1523,,,,6,,,l,2,61,,ben,要是那么容易忍住他还怎么赚钱,,,,,,,,,,,,landr,,,,,,,,,,14,,,,
f5200,1524,,,cleanolall,6,,,remoji,1,61,,stella,1,,,,,,,,,,,,landr,,,,,,,,,,1,,,,
f5201,1525,,,,6,,,r,2,61,,stella,Ben也会忍不住吗？,,,,,,,,,,,,landr,,,,,,,,,,10,,,,
